序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(202209) ,净利润(202209),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
4851,688410,山外山,重庆山外山血液净化技术股份有限公司,--,--,2.59亿,3270.40万,732,2022-12-26,,,--,血液净化设备、血液净化耗材、连锁血液透析中心医疗服务,血液净化设备与耗材的研发、生产和销售，并提供连锁血液透析医疗服务。
4852,688416,恒烁股份,恒烁半导体(合肥)股份有限公司,--,--,3.50亿,4664.07万,111,2022-08-29,--,,--,NOR Flash存储芯片、通用MCU芯片,存储芯片和MCU芯片研发、设计及销售。
4853,688418,震有科技,深圳震有科技股份有限公司,广东,深圳市,3.64亿,-9800.68万,1009,2020-07-22,,,--,核心网络系统、集中式局端系统、指挥调度系统、技术与维保服务,通信系统设备相关产品的设计、研发、销售与服务。
4854,688419,耐科装备,安徽耐科装备科技股份有限公司,--,--,2.14亿,4372.66万,426,2022-11-07,,,--,半导体封装设备及模具、塑料挤出成型模具、挤出成型装置及下游设备,从事应用于半导体封装及塑料挤出成型领域的智能制造装备的研发、生产和销售，为客户提供定制化的智能制造装备及系统解决方案。
4855,688420,美腾科技,天津美腾科技股份有限公司,--,--,3.13亿,8274.88万,391,2022-12-09,,,--,智能装备、智能系统与仪器,提供工矿业智能装备与系统。
4856,688425,铁建重工,中国铁建重工集团股份有限公司,湖南,长沙市,78.17亿,14.04亿,4920,2021-06-22,--,,--,掘进机装备、轨道交通设备、特种专业装备、装备租赁业务,隧道掘进机、轨道交通设备和特种专业装备的设计、研发、制造、销售、租赁和服务。
4857,688426,康为世纪,江苏康为世纪生物科技股份有限公司,--,--,3.98亿,1.50亿,456,2022-10-25,,,--,分子检测产品、分子检测服务,分子检测底层核心技术的自主研发。
4858,688428,诺诚健华,诺诚健华医药有限公司,--,--,4.42亿,-8.43亿,822,2022-09-21,--,,--,奥布替尼、ICP-192、ICP-723、ICP-332、ICP-189、ICP-490、Tafasitamab、ICP-105、ICP-033、ICP-488、ICP-248、ICP-B03、ICP-915、ICP-B02,创新药的研发、生产及商业化。
4859,688432,有研硅,有研半导体硅材料股份公司,--,--,9.25亿,3.52亿,783,2022-11-10,,,--,半导体硅抛光片、刻蚀设备用硅材料、半导体区熔硅单晶,硅及其它半导体材料、设备的研究、开发、生产与经营，提供相关技术开发、技术转让和技术咨询服务。
4860,688435,英方软件,上海英方软件股份有限公司,--,--,1.14亿,617.24万,441,2023-01-19,,,--,容灾产品系列、大数据产品系列、云灾备产品系列、备份产品系列、统一数据管理平台、软硬件一体机产品、软件相关服务,客户提供数据复制相关的软件、软硬件一体机及软件相关服务。
4861,688439,振华风光,贵州振华风光半导体股份有限公司,--,--,5.75亿,2.57亿,516,2022-08-26,,,--,信号链产品、电源管理器,高可靠集成电路设计、封装、测试及销售。
4862,688448,磁谷科技,南京磁谷科技股份有限公司,--,--,1.80亿,2087.76万,276,2022-09-21,,,--,磁悬浮离心式鼓风机、磁悬浮空气压缩机、磁悬浮冷水机组,"磁悬浮流体机械及磁悬浮轴承,高速电机,高速驱动等核心部件的研发,生产,销售。"
4863,688455,科捷智能,科捷智能科技股份有限公司,--,--,6.80亿,-1641.92万,654,2022-09-15,,,--,智慧物流系统(含智能输送系统和智能分拣系统)、智能制造系统(含智能仓储系统和智能工厂系统),智能物流与智能制造系统及产品的设计、研发、生产、销售及服务。
4864,688456,有研粉材,有研粉末新材料股份有限公司,北京,北京市,21.34亿,3937.92万,572,2021-03-17,--,,--,铜基金属粉体材料、高端微电子锡基焊粉材料、3D打印粉体材料,先进有色金属粉体材料的设计、研发、生产和销售。
4865,688459,哈铁科技,哈尔滨国铁科技集团股份有限公司,--,--,3.38亿,484.72万,1104,2022-10-12,,,--,轨道交通产品、轨道交通专业技术服务,专注于轨道交通安全监测检测、铁路专业信息化和智能装备业务。
4866,688466,金科环境,金科环境股份有限公司,北京,北京市,3.13亿,3881.58万,357,2020-05-08,--,,--,装备及技术解决方案、运营服务、污废水资源化产品生产和销售,水深度处理及污废水资源化。
